Nombre	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Limit	Format	Text
Ditto	Gen1	Ditto	Normal	Tierra	2	????	????	3	Speed	Cuando esta carta es invocada de forma normal con exito, selecciona 1 carta de Pokemon del oponente: los puntos de ATK/DEF, Atributo, Tipo y Efecto de esta carta se convierten en el ATK/DEF, Atributo, Tipo y Efecto originales de la carta seleccionada. 
Eevee	Gen1	Eevee	Normal	Tierra	3	500	400	3	Speed	Cuando esta carta es declarada como objetivo de ataque de 1 Pokemon que el oponente controla, regresala a tu mano. Selecciona 1 Pokemon que controles: este gana 200 puntos de ATK hasta el final del turno en el que es activado este efecto
Vaporeon	Gen1	Vaporeon	Agua	Agua	5	1600	1500	3	Speed	Esta carta solo puede ser invocada por el efecto de "Piedra Agua" y enviando al Cementerio 1 'Eevee' en tu lado del campo. No puede ser destruida por Pokemon de AGUA, y ademas reduce el dano de batalla a 0. En adicion, cada vez que esta carta es atacada por Pokemon de Agua, incrementa tus Life Points en 300 puntos 
Jolteon	Gen1	Jolteon	Electrico	Luz	5	1650	1400	3	Speed	Esta carta solo puede ser invocada por el efecto de "Piedra Trueno"  y enviando al Cementerio 1 'Eevee' en tu lado del campo. No puede ser destruida por Pokemon Electricos, y ademas reduce el dano de batalla a 0. En adicion, cada vez que esta carta es atacada por Pokemon Electricos, incrementa tus Life Points en 300 puntos 
Flareon	Gen1	Flareon	Fuego	Fuego	5	1500	1600	3	Speed	Esta carta solo puede ser invocada por el efecto de "Piedra Fuego" y enviando al Cementerio 1 'Eevee' en tu lado del campo. No puede ser destruida por Pokemon Fuego, y ademas reduce el dano de batalla a 0. En adicion, cada vez que esta carta es atacada por Pokemon Fuego, incrementa el ATK de esta carta en 300 puntos 
Porygon	Gen1	Porygon	Normal	Tierra	3	600	900	3	Speed	Una vez por turno, durante tu Main Phase, selecciona 1 carta de Pokemon del oponente. El atributo de esta carta se convierte en el atributo de la carta seleccionada. Cuando esta carta es seleccionada por efectos de cartas del oponente, designa un nuevo objetivo en el campo del oponente para aplicar dichos efectos
Omanyte	Gen1	Omanyte	Agua	Agua	2	400	700	1	Speed	Esta carta solo puede ser invocada por el efecto de "Fosil Helix". Si es declarada como objetivo de un ataque, cambiala a posicion de defensa
Omastar	Gen1	Omastar	Agua	Agua	5	1200	1800	1	Speed	Cuando esta carta es invocada con exito, anade 1 'Poder Pasado' de tu mazo a tu mano. Mezcla el mazo. Cuando batalla contra 1 Pokemon Fuego, reduce el dano a la mitad
Kabuto	Gen1	Kabuto	Agua	Agua	2	500	900	1	Speed	Esta carta solo puede ser invocada por el efecto de "Fósil Domo". No puede ser destruida en batalla por Pokemon con ATK superior a su DEF
Kabutops	Gen1	Kabutops	Agua	Agua	5	1600	1500	1	Speed	Esta carta no puede ser destruida en batalla por Pokemon con ATK superior a su DEF. Cuando destruye 1 Pokemon, incrementa tus Life Points en 500 puntos 
Aerodactyl	Gen1	Aerodactyl	Roca	Viento	5	1700	1500	1	Speed	Esta carta solo puede ser invocada por el efecto de "Ambar Viejo". No puede ser seleccionado por ataques de Pokemon Tierra. Cuando es invocada con exito, selecciona 1 Pokemon en el campo del oponente y regresalo a la mano de su propietario
Snorlax	Gen1	Snorlax	Normal	Tierra	4	1800	2200	2	Speed	Niega los efectos de 'Hipnosis' y 'Canto' aplicados en esta carta
Articuno	Gen1	Articuno	Hielo	Viento	7	2000	1700	1	Speed	Esta carta no puede ser invocada de forma normal. No puede ser seleccionada por ataques de Pokemon Tierra. Si la carta 'Granizo' se encuentra activa en el campo, esta carta no puede ser seleccionada como objetivo de ataque de Pokemon del oponente
Zapdos	Gen1	Zapdos	Electrico	Viento	7	2400	1600	1	Speed	Esta carta no puede ser invocada de forma normal. No puede ser seleccionada por ataques de Pokemon Tierra. Mientras esta carta se encuentre boca arriba en el campo, los Pokemon Electricos que el oponente controla solo pueden seleccionar esta carta como objetivo de ataque
Moltres	Gen1	Moltres	Fuego	Viento	7	2200	1500	1	Speed	Esta carta no puede ser invocada de forma normal. No puede ser seleccionada por ataques de Pokemon Tierra. Cuando esta carta es declarada como objetivo de un ataque, reduce el ATK del Pokemon atacante en 800 puntos
Dratini	Gen1	Dratini	Dragon	Agua	2	200	500	3	Speed	Cuando esta carta es seleccionada por cartas magicas/trampa que impidan atacar, cambiar posicion de batalla o activar efectos, duplica su DEF
Dragonair	Gen1	Dragonair	Dragon	Agua	5	1600	1400	3	Speed	Mientras esta carta se encuentre boca arriba en el campo, los efectos que reducen ATK y DEF o impiden atacar son negados
Dragonite	Gen1	Dragonite	Dragon	Viento	7	2500	2200	3	Speed	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. No puede ser seleccionada por efectos que impidan atacar. Cuando es invocada con exito, anade 1 'Furia Dragon' de tu mazo a tu mano. Mezcla el mazo
Mewtwo	Gen1	Mewtwo	Psíquico	Oscuridad	8	2800	1600	1	Speed	Esta carta no puede ser invocada de forma normal. No puede ser destruida como resultado de una batalla. En cada una de tus Standby Phases, incrementa tus Life Points en 1000 puntos
Mew 	Gen1	Mew	Psíquico	Luz	8	2300	1700	1	Speed	Esta carta no puede ser invocada de forma normal. No puede ser destruida como resultado de una batalla. Una vez por turno, durante tu Main Phase, selecciona 1 Pokemon que el oponente controla: copia su Atributo. Cualquier efecto de Pokemon aplicado en esta carta que reduzca ATK/DEF e impida atacar, es aplicado en la carta de Pokemon que lo activo.
Pokéball	Gen1	Pokeball	Normal	Spell				3	Speed	Invoca de forma especial, desde tu mano, 1 Pokémon de nivel 4 o inferior
Superball	Gen1	Superball	Normal	Spell				3	Speed	Invoca de forma especial, desde tu mano, 1 Pokémon de nivel 5 o inferior
Ultraball	Gen1	Ultraball	Normal	Spell				3	Speed	Invoca de forma especial, desde tu mano, 1 Pokémon de nivel 7 o inferior
Masterball	Gen1	Masterball	Normal	Spell				1	Speed	Invoca de forma especial, desde tu mano, 1 Pokémon sin importar su nivel
Revivir	Gen1	Revivir	Normal	Spell				3	Speed	Selecciona 1 Pokemon en tu Cementerio: invocalo de forma especial en tu lado del Campo
Poción	Gen1	Pocion	Normal	Spell				3	Speed	Incrementa tus Life Points en 200 puntos
Superpoción	Gen1	Superpocion	Normal	Spell				3	Speed	Incrementa tus Life Points en 400 puntos
Hiperpoción	Gen1	Hiperpocion	Normal	Spell				3	Speed	Incrementa tus Life Points en 500 puntos
Puas	Gen1	Puas	Continuous	Trap				3	Speed	Mientras esta carta se encuentre activa en el campo, cuando tu oponente invoca un Pokemon, recibe 200 puntos de dano a sus Life Points
Canto Mortal	Gen1	Canto_Mortal	Normal	Trap				2	Speed	Debes controlar a 'Lapras' para activar este efecto. Transcurridos 3 turnos desde la activacion de esta carta, todos los Pokemon en el campo son enviados al Cementerio
Frio Polar	Gen1	Frio_polar	Normal	Trap				2	Speed	Debes controlar a 'Lapras' para activar este efecto. Selecciona 1 Pokemon que el oponente controle y lanza 1 moneda a cara o cruz: si el resultado es 'cara', destruye al Pokemon seleccionado 
Hipnosis	Gen1	Hipnosis	Continuous	Trap				3	Speed	Debes controlar 1 Pokemon Fantasma. Selecciona 1 Pokemon boca arriba que controle tu oponente. No podrá atacar, cambiar su posicion de batalla o activar efectos. Cuando el Pokemon es destruido, envia esta carta al Cementerio
Comesuenos	Gen1	Comesuenos	Normal	Trap				3	Speed	Selecciona 1 Pokemon afectado por 'Hipnosis'. Tu oponente pierde 500 Life Points. En adicion, incrementa tus Life Points en 500
Toxico	Gen1	Toxico	Continuous	Trap				3	Speed	Debes controlar 1 Pokemon Veneno. En cada una de tus Standby Phases, tu oponente pierde 300 Life Points.
Onda Trueno	Gen1	Onda_Trueno	Continuous	Trap				3	Speed	Debes controlar 1 Pokemon Electrico. Selecciona 1 Pokemon boca arriba que controle tu oponente. No podrá atacar, cambiar su posicion de batalla o activar efectos. Cuando el Pokemon es destruido, envia esta carta al Cementerio
Fuego Fatuo	Gen1	Fuego_Fatuo	Continuous	Trap				3	Speed	Debes controlar 1 Pokemon Fantasma. Selecciona 1 Pokemon boca arriba que controle tu oponente. Éste pierde 400 puntos de ATK durante cada una de las Standby Phases de tu oponente.
Canto 	Gen1	Canto	Continuous	Trap				3	Speed	Debes controlar a 'Jigglypuff' o 'Wigglytuff' para activar esta carta. Selecciona 1 Pokemon boca arriba que controle tu oponente. No podrá atacar, cambiar su posicion de batalla o activar efectos. Cuando el Pokemon es destruido, envia esta carta al Cementerio
Rayo Hielo	Gen1	Rayo_Hielo	Equip	Spell				3	Speed	Equipa esta carta a 1 Pokemon Hielo. Cuando batalla contra 1 Pokemon Dragon, volador o tierra, duplica su ATK
Llamarada	Gen1	Llamarada	Normal	Spell				3	Speed	Incrementa el ATK de un Pokemon FUEGO en 1000 puntos hasta el final del turno en el que es activada esta carta
Hidrobomba	Gen1	Hidrobomba	Normal	Spell				3	Speed	Incrementa el ATK de un Pokemon AGUA en 1000 puntos hasta el final del turno en el que es activada esta carta
Terremoto	Gen1	Terremoto	Normal	Spell				3	Speed	Debes controlar 1 Pokemon Tierra para activar esta carta. Destruye todas las cartas de Pokemon en el campo. Los Pokemon de VIENTO no pueden ser seleccionados por este efecto
Hiperrayo	Gen1	Hiperrayo	Normal	Spell				3	Speed	Debes controlar a 'Dragonite' para activar esta carta: incrementa su ATK en 1000 puntos hasta el final del turno. La carta seleccionada no podra declarar ataques durante tu proximo turno.
Danza Lluvia	Gen1	Danza_Lluvia	Continuous	Spell				3	Speed	Mientras esta carta permanezca activa en el campo, incrementa el ATK y DEF de los Pokemon AGUA en 300 puntos. Reduce el ATK y DEF de los Pokemon FUEGO en 300 puntos
Dia Soleado	Gen1	Dia_Soleado	Continuous	Spell				3	Speed	Mientras esta carta permanezca activa en el campo, incrementa el ATK y DEF de los Pokemon FUEGO en 300 puntos
Tormenta de Arena	Gen1	Tormenta_Arena	Continuous	Spell				3	Speed	Mientras esta carta se encuentre activa en el campo, los Pokemon (excepto los de tipo volador, tierra y roca) pierden 200 puntos de DEF.
Granizo	Gen1	Granizo	Continuous	Spell				3	Speed	Mientras esta carta se encuentre activa en el campo, todos los Pokemon (excepto los de atributo AGUA) pierden 200 puntos de DEF.
Avalancha	Gen1	Avalancha	Normal	Spell				3	Speed	Debes controlar 1 Pokemon Roca para activar esta carta. Selecciona y destruye 1 Pokemon de atributo VIENTO o FUEGO en el campo del oponente 
Poder Pasado	Gen1	Poder_Pasado	Equip	Spell				3	Speed	Equipa esta carta unicamente a Omastar, Kabutops y Aerodactyl. Cuando atacan a un Pokemon FUEGO, duplica el ATK del Pokemon equipado con esta carta.
Proteccion	Gen1	Proteccion	Quick-play	Spell				3	Speed	Una vez por turno, cuando un Pokemon del oponente declara un ataque contra un Pokémon que controles, niegalo
Giro Rapido	Gen1	Giro_Rapido	Quick-play	Spell				3	Speed	Debes controlar a 'Staryu' o 'Starmie' para activar esta carta. Selecciona y destruye 1 carta de 'Puas' en el campo del oponente
Mal de Ojo	Gen1	Mal_de_Ojo	Continuous	Trap				3	Speed	Debes controlar 1 Pokemon Fantasma para activar esta carta. Selecciona 1 carta de Pokemon que tu oponente controle: no podra abandonar el campo mientras esta carta permanezca activa
Mismo Destino	Gen1	Mismo_Destino	Normal	Trap				3	Speed	Puedes activar esta carta cuando un Pokemon de tu oponente destruye en batalla 1 Pokemon que controles: ambos Pokemon son enviados al Cementerio
Gigadrenado	Gen1	Gigadrenado	Equip	Spell				3	Speed	Equipa esta carta a 1 Pokemon Planta. Cuando el Pokemon equipado batalla contra un Pokemon Agua, Roca o Tierra, duplica su ATK. Si destruye 1 Pokemon, incrementa tus Life Points en un valor equivalente al dano de batalla efectuado
Excavar	Gen1	Excavar	Quick-play	Spell				3	Speed	Activa esta carta cuando un Pokemon Tierra es declarado como objetivo de un ataque: no podra ser destruido en batalla hasta el final del turno, y ademas reduce el dano de batalla a 0
Piedra Lunar	Gen1	Piedra_Lunar	Normal	Spell				3	Speed	Invoca de forma especial, desde tu mano, 1 Pokemon de nivel 5 o mayor enviando al Cementerio 1 Pokemon indicado en el efecto de la carta a invocar.
Piedra Fuego	Gen1	Piedra_Fuego	Normal	Spell				3	Speed	Invoca de forma especial, desde tu mano, 1 Pokemon Fuego de nivel 5 o mayor enviando al Cementerio 1 Pokemon indicado en el efecto de la carta a invocar.
Piedra Hoja	Gen1	Piedra_Hoja	Normal	Spell				3	Speed	Invoca de forma especial, desde tu mano, 1 Pokémon Planta de nivel 5 o mayor enviando al Cementerio 1 Pokemon indicado en el efecto de la carta a invocar.
Piedra Trueno	Gen1	Piedra_Trueno	Normal	Spell				3	Speed	Invoca de forma especial, desde tu mano, 1 Pokémon Electrico de nivel 5 o mayor enviando al Cementerio 1 Pokemon indicado en el efecto de la carta a invocar.
Piedra Agua	Gen1	Piedra_Agua	Normal	Spell				3	Speed	Invoca de forma especial, desde tu mano, 1 Pokemon Agua de nivel 5 o mayor enviando al Cementerio 1 Pokemon indicado en el efecto de la carta a invocar.
Fosil Helix	Gen1	Fosil_Helix	Normal	Spell				1	Speed	Invoca de forma especial, desde tu mano, 1 'Omanyte'. 
Fosil Domo	Gen1	Fosil_Domo	Normal	Spell				1	Speed	Invoca de forma especial, desde tu mano, 1 'Kabuto'. 
Ambar Viejo	Gen1	Ambar_Viejo	Normal	Spell				1	Speed	Invoca de forma especial, desde tu mano, 1 'Aerodactyl'. 
Caramelo Raro	Gen1	Caramelo_Raro	Normal	Spell				3	Speed	Selecciona 1 Pokemon que controles. Durante el turno en el que es activada esta carta, el Pokemon puede ser usado como 2 sacrificios para invocar 1 Pokemon de nivel 7 o mayor de su misma linea evolutiva
Rayo	Gen1	Rayo	Normal	Spell				2	Speed	Debes controlar 1 Pokemon Electrico. Selecciona y destruye todos los Pokemon de AGUA o VIENTO que tu oponente controle
Psiquico	Gen1	Psiquico	Normal	Spell				3	Speed	Selecciona 1 Pokemon Psiquico que controles. Incrementa su ATK en 900 puntos hasta el final del turno
Reflejo	Gen1	Reflejo	Continuous	Spell				3	Speed	Mientras esta carta se encuentre activa en el campo, duplica la DEF de todos los Pokemon que controles
Puno Fuego	Gen1	Puno_Fuego	Equip	Spell				3	Speed	Equipa esta carta a 'Hitmonchan'. Cuando batalla contra 1 Pokemon Planta, Acero, Hielo o Bicho, duplica su ATK hasta el final de la Battle Phase
Puno Trueno	Gen1	Puno_Trueno	Equip	Spell				3	Speed	Equipa esta carta a 'Hitmonchan'. Cuando batalla contra 1 Pokemon de AGUA o VIENTO, duplica su ATK hasta el final de la Battle Phase
Puno Hielo	Gen1	Puno_Hielo	Equip	Spell				3	Speed	Equipa esta carta a 'Hitmonchan'. Cuando batalla contra 1 Pokemon Planta, Dragon, Tierra o Volador, duplica su ATK hasta el final de la Battle Phase
Bola Sombra	Gen1	Bola_Sombra	Equip	Spell				3	Speed	Equipa esta carta a 1 Pokemon Fantasma. Incrementa su ATK en 800 puntos. Cuando ataca a 1 Pokemon, reduce la DEF del objetivo en 300 puntos
Patada Salto Alta	Gen1	Patada_Salto_Alta	Equip	Spell				3	Speed	Equipa esta carta a 'Hitmonlee'. Lanza 1 moneda a cara o cruz. Si el resultado es 'cara', Incrementa su ATK en 1000 puntos. Si es 'cruz', recibes 1000 puntos de daño a tus Life Points
Rayo Solar	Gen1	Rayo_Solar	Normal	Spell				3	Speed	La carta 'Dia Soleado' debe estar activa en el campo. Selecciona 1 Pokemon Planta que controles, incrementa su ATK en 1000 puntos. Solo puedes activar 1 'Rayo Solar' por turno
Furia Dragon	Gen1	Furia_Dragon	Quick-play	Spell				3	Speed	Selecciona 1 Pokemon Dragon que controles: hasta el final del turno, incrementa su ATK en 600 puntos
Supercana	Gen1	Supercana	Normal	Spell				3	Speed	Busca en tu mazo 1 Pokemon de AGUA y anadelo a tu mano. Mezcla el mazo
Buscaobjetos	Gen1	Buscaobjetos	Normal	Spell				3	Speed	Busca en tu mazo 1 carta Magica de Equipo y anadela a tu mano. Mezcla el mazo
Ocaso Ball	Gen1	Ocaso_Ball	Normal	Spell				3	Speed	Invoca de forma especial, desde tu mano, 1 Pokemon de OSCURIDAD de nivel 4 o inferior. Si hay 1 carta magica de campo cuyo nombre incluye 'Cueva', puedes invocar 1 Pokemon de nivel 5 o 6
Nido Ball	Gen1	Nido_Ball	Normal	Spell				3	Speed	Invoca de forma especial, desde tu mazo, 1 Pokemon de nivel 2 o inferior. 
Acopio Ball	Gen1	Acopio_Ball	Normal	Spell				3	Speed	Invoca de forma especial, desde tu mazo, 1 Pokemon con el mismo nombre que un Pokemon boca arriba que controles
Proteina	Gen1	Proteina	Normal	Spell				3	Speed	Incrementa el ATK de un Pokemon que controles en 600 puntos hasta que abandone el campo 
Hierro	Gen1	Hierro	Normal	Spell				3	Speed	Incrementa la DEF de un Pokemon que controles en 600 puntos hasta que abandone el campo 
Pokeflauta	Gen1	Pokeflauta	Normal	Spell				3	Speed	Envia al Cementerio 1 'Hipnosis' o 'Canto' boca arriba en el campo
Cuerda Huida	Gen1	Cuerda_Huida	Quick-play	Spell				3	Speed	Selecciona 1 Pokemon boca arriba que controles y devuelvelo a tu mano
Cinta Aguante	Gen1	Cinta_Aguante	Equip	Spell				3	Speed	Equipa esta carta a 1 Pokemon que controles. Una vez por turno, si el Pokemon fuera a ser destruido como resultado de una batalla, reduce el dano de batalla a 0
Mapa	Gen1	Mapa	Normal	Spell				1	Speed	Anade 1 carta magica de campo de tu mazo a tu mano. Mezcla el mazo
Scope Silph	Gen1	Scope_Silph	Normal	Spell				1	Speed	La carta 'Torre Pokemon' debe estar activa en el campo. Mira las 3 primeras cartas de tu mazo. Si hay 1 Pokemon Fantasma, anadelo a tu mano
Bosque Verde	Gen1	Bosque_Verde	Field	Spell				3	Speed	Todos los Pokemon Bicho ganan 200 puntos de ATK y DEF.
Mt. Moon	Gen1	Mt_Moon	Field	Spell				3	Speed	Todos los Pokemon Roca ganan 200 puntos de ATK y DEF.
Mt. Ascuas	Gen1	Mt_Ascuas	Field	Spell				3	Speed	Todos los Pokemon de FUEGO ganan 200 puntos de ATK y DEF.
Cueva Glaciada	Gen1	Cueva_Glaciada	Field	Spell				3	Speed	Todos los Pokemon Hielo y Agua ganan 200 puntos de ATK y DEF, y ademas los Pokemon Fuego, Tierra y Roca pierden 200 puntos de ATK y DEF
Cueva Perdida	Gen1	Cueva_Perdida	Field	Spell				3	Speed	Todos los Pokemon Fantasma ganan 400 puntos de ATK y DEF.
Islas Espuma	Gen1	Islas_Espuma	Field	Spell				3	Speed	Todos los Pokemon Agua ganan 300 puntos de ATK y DEF, y ademas los Pokemon Fuego, Tierra y Roca pierden 300 puntos de ATK y DEF
Central Energia	Gen1	Central_Energia	Field	Spell				3	Speed	Todos los Pokemon Electricos ganan 200 puntos de ATK y DEF.
Calle Victoria	Gen1	Calle_Victoria	Field	Spell				3	Speed	Todos los Pokemon Tierra y Roca ganan 400 puntos de ATK y DEF. Una vez por turno, durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 carta de 'Entrenador Guay', anadela a tu mano y devuelve las otras 2 cartas en el orden original
Cueva Celeste	Gen1	Cueva_Celeste	Field	Spell				3	Speed	Una vez por turno, durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 Pokemon Roca o Lucha, añadelo a tu mano y regresa el resto de las cartas en el orden original. En adicion, lanza 1 moneda a cara o cruz. Si el resultado es 'cara', anade 1 'Mewtwo' de tu mazo a tu mano. Mezcla el mazo
Tunel Roca	Gen1	Tunel_Roca	Field	Spell				3	Speed	Todos los Pokemon Tierra, Roca y Lucha ganan 300 puntos de ATK y DEF.
Torre Pokemon	Gen1	Torre_Pokemon	Field	Spell				3	Speed	Todos los Pokemon Fantasma ganan 200 puntos de ATK y DEF.
Dojo Karate	Gen1	Dojo_Karate	Field	Spell				3	Speed	Todos los Pokemon Lucha ganan 500 puntos de ATK y DEF.
Bicicleta	Gen1	Bicicleta	Normal	Spell				2	Speed	Roba 3 cartas de la parte superior de tu mazo
Hueso Grueso	Gen1	Hueso_Grueso	Equip	Spell				3	Speed	Equipa esta carta a 'Cubone' o 'Marowak'. Incrementa su ATK en 400 puntos
Puerro	Gen1	Puerro	Equip	Spell				3	Speed	Equipa esta carta unicamente a "Farfetch'd". Incrementa su ATK en 300 puntos
Vidasfera	Gen1	Vidasfera	Equip	Spell				3	Speed	Equipa esta carta a 1 Pokemon boca arriba que controles: duplica su ATK. En cada una de  tus Standby Phases, pierdes 400 Life Points
Restos	Gen1	Restos	Equip	Spell				3	Speed	Equipa esta carta a 1 Pokemon boca arriba que controles. En cada una de tus Standby Phases, incrementa tus Life Points en 200 puntos.
Lider Brock	Gen1	Lider_Brock	Normal	Spell				1	Speed	Busca en tu mazo 1 Pokemon Roca y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno, cuando 1 Pokemon Roca destruye a 1 Pokemon del oponente como resultado de una batalla, puedes anadir 1 'Tumba Rocas' de tu mazo a tu mano. Mezcla el mazo
Lider Misty	Gen1	Lider_Misty	Normal	Spell				1	Speed	Invoca de forma especial, desde tu mano, 1 Pokemon de AGUA de nivel 4 o inferior. Hasta el final del turno, cuando 1 Pokemon de AGUA que controlas destruye 1 Pokemon, roba 1 carta de la parte superior de tu mazo
Lider Surge	Gen1	Lider_Surge	Normal	Spell				1	Speed	Busca en tu mazo 1 Pokemon Electrico y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno, cuando 1 Pokemon Electrico que controlas destruye 1 Pokemon, roba 2 cartas. En adicion, puedes anadir 1 'Rayo' o 'Piedra Trueno' de tu mazo a tu mano. Mezcla el mazo
Lider Erika	Gen1	Lider_Erika	Normal	Spell				1	Speed	Invoca de forma especial, desde tu mano, 1 Pokemon Planta de nivel 4 o inferior. Hasta el final del turno, cuando 1 Pokemon Planta destruye 1 Pokemon del oponente, robas 2 cartas. En adicion, puedes anadir 1 'Gigadrenado' de tu mazo a tu mano. Mezcla el mazo
Lider Sabrina	Gen1	Lider_Sabrina	Normal	Spell				1	Speed	Busca en tu mazo 1 Pokemon Psiquico y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno puedes invocar, desde tu mano, Pokemon Psiquico de nivel 7 con un sacrificio menos. En adicion, puedes voltear 1 carta boca abajo en el campo de tu oponente (sus efectos no se activan). Regresala a su posicion original
Lider Koga	Gen1	Lider_Koga	Normal	Spell				1	Speed	Busca en tu mazo 1 Pokemon Veneno y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno, cuando 1 Pokemon Veneno que controlas destruye 1 Pokemon, robas 2 cartas de la parte superior de tu mazo. En adicion, puedes anadir 1 'Toxico' de tu mazo a tu mano.
Lider Blaine	Gen1	Lider_Blaine	Normal	Spell				1	Speed	Busca en tu mazo 1 Pokemon Fuego y anadelo a tu mano. Mezcla el mazo . Hasta el final del turno, cuando 1 Pokemon de FUEGO que controlas destruye 1 Pokemon, tu oponente descarta 2 cartas de su mano. En adicion, puedes anadir 1 'Llamarada' de tu mazo a tu mano. Mezcla el mazo
Lider Giovanni	Gen1	Lider_Giovanni	Normal	Spell				1	Speed	Busca en tu mazo 1 Pokemon Tierra y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno, cuando 1 Pokemon Tierra que controlas destruye 1 Pokemon, tu oponente envia 2 cartas de su zona de cartas magicas/trampa al Cementerio. En adicion, puedes anadir 1 'Terremoto' de tu mazo a tu mano. Mezcla el mazo
Alto Mando Lorelei	Gen1	Alto_Mando_Lorelei	Normal	Spell				1	Speed	Busca en tu mazo 1 Pokemon Hielo y anadelo a tu mano. Mezcla el mazo. Durante el turno en el que es activada esta carta, puedes invocar hasta 2 Pokemon Hielo de tu mano de forma normal
Alto Mando Bruno	Gen1	Alto_Mando_Bruno	Normal	Spell				1	Speed	Busca en tu mazo 1 Pokemon Lucha y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno puedes invocar, desde tu mano, Pokemon Lucha de nivel 7 con un sacrificio menos
Alto Mando Agatha	Gen1	Alto_Mando_Agatha	Normal	Spell				1	Speed	Busca en tu mazo 1 Pokemon Fantasma y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno puedes invocar, desde tu mano, Pokemon Lucha de nivel 7 con un sacrificio menos. 
Alto Mando Lance	Gen1	Alto_Mando_Lance	Normal	Spell				1	Speed	Busca en tu mazo 1 Pokemon Dragon y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno puedes invocar, desde tu mano, Pokemon Lucha de nivel 7 con un sacrificio menos. Cuando invocas 1 Pokemon Dragon, tu oponente descarta toda su mano
Cazabichos	Gen1	Cazabichos	Normal	Spell				3	Speed	Mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 Pokemon Bicho, anadelo a tu mano y regresa el resto de las cartas en el orden original
Joven	Gen1	Joven	Normal	Spell				3	Speed	Mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 Pokemon Normal o Veneno, anadelo a tu mano y regresa el resto de las cartas en el orden original
Chica	Gen1	Chica	Normal	Spell				3	Speed	Roba cartas de la parte superior de tu mazo hasta que tengas 4 cartas en tu mano
Montanero	Gen1	Montanero	Normal	Spell				3	Speed	Mira las 5 primeras cartas de la parte superior de tu mazo. Si hay 1 Pokemon Roca, anadelo a tu mano y regresa el resto de las cartas en el orden original
Pescador	Gen1	Pescador	Normal	Spell				3	Speed	Anade 1 'Supercana' de tu mazo a tu mano. Mezcla el mazo
Karateka	Gen1	Karateka	Normal	Spell				3	Speed	Incrementa el ATK y DEF de 1 Pokemon Lucha que controlas en 300 puntos hasta el final del turno en el que es activada esta carta
Entrenador Guay	Gen1	Entrenador_Guay	Normal	Spell				3	Speed	Roba cartas de la parte superior de tu mazo hasta que tengas 6 cartas en tu mano
Ornitologo	Gen1	Ornitologo	Normal	Spell				3	Speed	Busca en tu mazo 1 Pokemon Volador y anadelo a tu mano. Mezcla el mazo
Nadador	Gen1	Nadador	Normal	Spell				3	Speed	Busca en tu mazo 1 Pokemon de AGUA y anadelo a tu mano. Mezcla el mazo
Exorcista	Gen1	Exorcista	Normal	Spell				3	Speed	Busca en tu mazo 1 Pokemon Fantasma y anadelo a tu mano. Mezcla el mazo
Jefe Giovanni	Gen1	Jefe_Giovanni	Normal	Spell				1	Speed	Tu oponente destierra toda su mano. Roba 1 carta por cada carta desterrada por este efecto
Soldado Team Rocket	Gen1	Soldado_Team_Rocket	Normal	Spell				3	Speed	Toma el control de 1 Pokemon en el campo del oponente
Casino Rocket	Gen1	Casino_Rocket	Field	Spell				1	Speed	Lanza 1 dado de 6 caras. Si el resultado es 1, 2 o 3, descartas 1 carta por cada numero obtenido. Si el resultado es 4, 5 o 6, robas 1 carta por cada numero obtenido
Profesor Oak	Gen1	Profesor_Oak	Normal	Spell				1	Speed	Anade 1 'Bulbasaur', 'Charmander' o 'Squirtle' de tu mazo a tu mano. Mezcla el mazo
Correo del Profesor	Gen1	Correo_Del_Profesor	Normal	Spell				1	Speed	Roba 1 carta de la parte superior de tu mazo
Pokedex	Gen1	Pokedex	Normal	Spell				1	Speed	Mira las 5 primeras cartas de la parte superior de tu mazo y devuelvelas en el orden que desees
Bill	Gen1	Bill	Normal	Spell				1	Speed	Roba 3 cartas de la parte superior de tu mazo
Sistema de Almacenamiento Pokemon	Gen1	Sistema_Almacenamiento_Pokemon	Normal	Spell				3	Speed	Devuelve tu mano a tu mazo y mezclalo. Roba cartas hasta que tengas el mismo numero de cartas que fueron devueltas al mazo
Maquina de Intercambio	Gen1	Maquina_Intercambio	Normal	Spell				3	Speed	Tu y tu oponente eligen 1 carta de Pokemon de sus respectivas manos y la entregan al jugador contrario
Centro Pokemon	Gen1	Centro_Pokemon	Normal	Spell				3	Speed	Devuelve a tu mazo, desde tu Cementerio, hasta 6 cartas de Pokemon. Mezcla el mazo
