Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Limit	Format	Text
Antiderretir	JHT02	Antiderretir	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Hielo. Gana 300 puntos de ATK
Hechizo	JHT02	Hechizo	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Fantasma. Gana 300 puntos de ATK
Cuchara Torcida	JHT02	Cuchara_Torcida	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Psiquico. Gana 300 puntos de ATK
Carbon	JHT02	Carbon	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Fuego. Gana 300 puntos de ATK
Colmillo Dragon	JHT02	Colmillo_Dragon	Equip	Spell				3	TCG	Equipa esta carta a 1 Pokemon Dragon. Gana 300 puntos de ATK
Mejora	JHT02	Mejora	Normal	Spell				3	TCG	Selecciona 1 'Porygon' que controles y envialo al Cementerio. Invoca de forma especial, desde tu mano, 1 'Porygon2'.
Rapid Ball	JHT02	Rapid_Ball	Normal	Spell				3	TCG	Mira las 4 primeras cartas de la parte superior de tu mazo. Si entre ellas hay 1 Pokemon, anadelo a tu mano y devuelve el resto de las cartas en el orden original 
Nivel Ball	JHT02	Nivel_Ball	Normal	Spell				3	TCG	Invoca de forma especial, desde tu mazo, 1 Pokemon cuyo nivel sea igual o menor al nivel de 1 Pokemon boca arriba que controles. Mezcla el mazo.
Cebo Ball	JHT02	Cebo_Ball	Normal	Spell				3	TCG	Invoca de forma especial, desde tu mazo, 1 Pokemon Agua de nivel 4 o menor. Mezcla el mazo.
Peso Ball	JHT02	Peso_Ball	Normal	Spell				3	TCG	Busca en tu mazo 1 Pokemon con 2000 de DEF o mas, y anadelo a tu mano. Mezcla el mazo.
Luna Ball	JHT02	Luna_Ball	Normal	Spell				3	TCG	Busca en tu mazo 1 Pokemon cuyo efecto mencione 'Piedra Lunar', y anadelo a tu mano. Mezcla el mazo.
Pluma Plateada	JHT02	Pluma_Plateada	Normal	Spell				1	TCG	La carta 'Islas Remolino' debe estar activa en el campo. Anade a tu mano, desde tu mazo, 1 'Lugia'. Mezcla el mazo.
Pluma Arcoiris	JHT02	Pluma_Arcoiris	Normal	Spell				1	TCG	La carta 'Torre Campana' debe estar activa en el campo. Anade a tu mano, desde tu mazo, 1 'Ho-Oh'. Mezcla el mazo.
Pokegear	JHT02	Pokegear	Normal	Spell				1	TCG	Anade a tu mazo, desde tu Cementerio, hasta 3 cartas magicas normales. Mezcla el mazo
Encinar	JHT02	Encinar	Field	Spell				3	TCG	Todos los Pokemon Bicho, Planta y Volador ganan 300 puntos de ATK y DEF. Una vez por turno, durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 'Celebi', anadelo a tu mano y devuelve el resto de las cartas en el orden original.
Lago de la Furia	JHT02	Lago_Furia	Field	Spell				1	TCG	Todos los Pokemon Electricos y Agua ganan 300 puntos de ATK y DEF, y ademas los Pokemon Fuego, Tierra y Roca pierden 300 puntos de ATK y DEF. Una vez por turno, mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 'Magikarp' o 'Gyarados', anadelo a tu mano y devuelve el resto de las cartas en el orden original.
Islas Remolino	JHT02	Islas_Remolino	Field	Spell				3	TCG	Todos los Pokemon de AGUA ganan 300 puntos de ATK y DEF, y ademas los Pokemon de FUEGO pierden 300 puntos de ATK y DEF. 
Pozo Slowpoke	JHT02	Pozo_Slowpoke	Field	Spell				2	TCG	Una vez por turno, durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 'Slowpoke', anadelo a tu mano y devuelve el resto de las cartas en el orden original.
Ruinas Alfa	JHT02	Ruinas_Alfa	Field	Spell				1	TCG	Una vez por turno, durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 'Unown', anadelo a tu mano y devuelve el resto de las cartas en el orden original.
Torre Bellsprout	JHT02	Torre_Bellsprout	Field	Spell				2	TCG	Una vez por turno, durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 'Bellsprout', anadelo a tu mano y devuelve el resto de las cartas en el orden original.
Ruta Helada	JHT02	Ruta_Helada	Field	Spell				3	TCG	Todos los Pokemon Hielo ganan 300 puntos de ATK y DEF, y ademas los Pokemon Planta y Dragon pierden 300 puntos de ATK y DEF. 
Guarida Dragon	JHT02	Guarida_Dragon	Field	Spell				2	TCG	Todos los Pokemon Dragon ganan 300 puntos de ATK y DEF. Una vez por turno, durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 Pokemon Dragon, anadelo a tu mano y devuelve el resto de las cartas en el orden original
Mt. Mortero	JHT02	Mt_Mortero	Field	Spell				2	TCG	Una vez por turno, durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 Pokemon Roca o Lucha, anadelo a tu mano y devuelve el resto de las cartas en el orden original.
Torre Quemada	JHT02	Torre_Quemada	Field	Spell				1	TCG	Una vez por turno, durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 'Entei', 'Suicune' o 'Raikou', anadelo a tu mano y devuelve el resto de las cartas en el orden original.
Torre Campana	JHT02	Torre_Campana	Field	Spell				1	TCG	Una vez por turno, durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si hay 1 'Gastly' o 'Rattata', anadelo a tu mano y devuelve el resto de las cartas en el orden original.
Lider Pegaso	JHT02	Lider_Pegaso	Normal	Spell				1	TCG	Busca en tu mazo 1 Pokemon Volador y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno, todos los Pokemon Volador puede atacar directamente a los Life Points de tu oponente.
Lider Anton	JHT02	Lider_Anton	Normal	Spell				1	TCG	Busca en tu mazo 1 Pokemon Bicho y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno, puedes invocar Pokemon Bicho de nivel 5 sin sacrificios.
Lider Blanca	JHT02	Lider_Blanca	Normal	Spell				1	TCG	Busca en tu mazo 1 Pokemon Normal y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno, cuando 1 Pokemon Normal que controlas destruye a 1 Pokemon, robas 2 cartas.
Lider Morty	JHT02	Lider_Morty	Normal	Spell				1	TCG	Busca en tu mazo 1 Pokemon Fantasma y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno, los ataques de Pokemon Fantasma que controles no pueden ser cancelados.
Lider Anibal	JHT02	Lider_Anibal	Normal	Spell				1	TCG	Busca en tu mazo 1 Pokemon Lucha y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno, los Pokemon Lucha que controles infligen dano de penetracion.
Lider Yasmina	JHT02	Lider_Yasmina	Normal	Spell				1	TCG	Busca en tu mazo 1 Pokemon Acero y anadelo a tu mano. Mezcla el mazo. Hasta el final del proximo turno, los Pokemon Acero que controles ganan 500 puntos de DEF.
Lider Fredo	JHT02	Lider_Fredo	Normal	Spell				1	TCG	Busca en tu mazo 1 Pokemon Hielo y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno, los Pokemon Hielo que controles ganan 500 puntos de ATK.
Lider Debora	JHT02	Lider_Debora	Normal	Spell				1	TCG	Busca en tu mazo 1 Pokemon Dragon y anadelo a tu mano. Mezcla el mazo. Hasta el final del turno, puedes invocar Pokemon Dragon con un sacrificio menos.
Alto Mando Mento	JHT02	Alto_Mando_Mento	Normal	Spell				1	TCG	Mira las 5 cartas de la parte inferior de tu mazo. Si alguna es 1 Pokemon Psiquico, invocalo de forma especial y devuelve las demas cartas en el orden original. Durante el turno en el que es activada esta carta, los Pokemon Psiquico que controles ganan 500 de ATK.
Alto Mando Koga	JHT02	Alto_Mando_Koga	Normal	Spell				1	TCG	Durante el turno en el que es activada esta carta, puedes invocar Pokemon Bicho o Veneno con un sacrificio menos. Los Pokemon Bicho y Veneno que controlas no pueden ser destruidos en batalla durante el próximo turno de tu oponente. En adicion, busca 1 carta de Trampa en tu Cementerio y colocala boca abajo en tu zona de cartas Magicas/Trampa.
Alto Mando Karen	JHT02	Alto_Mando_Karen	Normal	Spell				1	TCG	Durante el turno en el que es activada esta carta, puedes invocar Pokemon Siniestro o Fantasma con un sacrificio menos. Los ataques de Pokemon Siniestro que controles no pueden ser cancelados. En adicion, busca 1 carta de Trampa en tu Cementerio y colocala boca abajo en tu zona de cartas Magicas/Trampa.
Campeon Lance	JHT02	Campeon_Lance	Normal	Spell				1	TCG	Durante el turno en el que es activada esta carta, puedes invocar Pokemon de VIENTO nivel 7 con un sacrificio menos. Hasta el final del turno, cuando 1 Pokemon de Viento nivel 7 que controlas declara un ataque, ninguna carta boca abajo en la zona de cartas Magicas/Trampa del oponente puede ser activada. 
Profesor Elm	JHT02	Profesor_Elm	Normal	Spell				1	TCG	Anade 1 'Chikorita', 'Cyndaquil' o 'Totodile' de tu mazo a tu mano. Mezcla el mazo
Entrenador Gold	JHT02	Entrenador_Gold	Quick-play	Spell				3	TCG	Puedes activar esta carta cuando invocas 1 'Cyndaquil' en tu campo. Ninguna carta boca abajo en la zona de cartas Magicas/Trampa puede ser activada. En adicion, puedes anadir a tu mano, desde tu mazo, 1 Pokemon cuyo nombre sea 'Quilava' o 'Typhlosion'. Mezcla el mazo. Solo puedes activar 1 'Entrenador Gold' por turno.
Rival Silver	JHT02	Rival_Silver	Quick-play	Spell				3	TCG	Puedes activar esta carta cuando tu oponente controla 1 Pokemon y tu no controlas ninguno. Anade a tu mano, desde tu mazo, 1 'Totodile'. En adicion, roba cartas de la parte superior de tu mazo hasta que tengas el mismo numero de cartas en mano que tu oponente
Entrenadora Crystal	JHT02	Entrenadora_Crystal	Normal	Spell				3	TCG	Puedes activar esta carta cuando controlas al menos 2 Pokemon. Invoca de forma especial, desde tu mazo, 1 'Chikorita'. En adicion, anade 1 'Nivel Ball' de tu mazo a tu mano. Mezcla el mazo.
Ciclo Dia/Noche	JHT02	Ciclo_Dia_Noche	Continuous	Spell				1	TCG	Mientras esta carta permanezca activa en el campo, los turnos de cada jugador se dividen en 'Dia' y 'Noche'. Segun el turno correspondiente, aplica 1 de los siguientes efectos: Dia: la carta 'Luz Lunar' no puede ser activada. Durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si alguna es 1 Pokemon Planta o Hada, anadelo a tu mano y devuelve el resto de las cartas en el orden original. En adicion, puedes invocar de forma especial 1 'Espeon' enviando un 'Eevee' en tu lado del campo al Cementerio Noche: la carta 'Dia Soleado' no puede ser activada. Durante tu Main Phase, mira las 3 primeras cartas de la parte superior de tu mazo. Si alguna es 1 Pokemon Bicho o Siniestro, anadelo a tu mano y devuelve el resto de las cartas en el orden original. En adicion, puedes invocar de forma especial 1 'Umbreon' enviando un 'Eevee' en tu lado del campo al Cementerio 
Chica Kimono	JHT02	Chica_Kimono	Normal	Spell				1	TCG	Puedes activar esta carta si controlas 1 'Eevee'. Busca en tu mazo una carta Magica cuyo nombre incluya 'Piedra' y 1 Pokemon cuyo efecto contenga 'Eevee'. Mezcla el mazo
Ejecutivo Proton	JHT02	Ejecutivo_Proton	Normal	Trap				1	TCG	La carta 'Pozo Slowpoke' debe estar activa en el campo. Envia un 'Slowpoke' en tu mano o campo al Cementerio. Roba 2 cartas de la parte superior de tu mazo
Ejecutivo Petrel	JHT02	Ejecutivo_Petrel	Normal	Trap				1	TCG	La carta 'Lago de la Furia' debe estar activa en el campo. Selecciona 1 'Magikarp' boca arriba que controles: busca en tu mazo 1 'Gyarados' y mezclalo. Hasta el final del turno, la carta seleccionada es tratada como 2 sacrificios para la invocacion de 1 'Gyarados' 
Ejecutivo Apolo	JHT02	Ejecutivo_Apolo	Normal	Trap				1	TCG	La carta 'Torre Radio de Ciudad Trigal' debe estar activa en el campo. Mira las 7 primeras cartas de la parte superior de tu mazo. Si alguna es 1 'Jefe Giovanni', ponla en la parte superior de tu mazo.
Ejecutiva Atenea	JHT02	Ejecutiva_Atenea	Normal	Trap				1	TCG	La carta 'Torre Radio de Ciudad Trigal' debe estar activa en el campo. Busca en tu mazo 1 Pokemon Veneno o Siniestro y anadelo a tu mano. Mezcla el mazo
Torre Radio de Ciudad Trigal	JHT02	Torre_Radio	Field	Spell				1	TCG	Una vez por turno, durante tu Main Phase, mira las 4 primeras cartas de la parte superior de tu mazo. Si alguna es 1 Pokemon, ponla en la parte superior de tu mazo.

